#Archive/File	Name	Time	Size	Type
Archive	GSE10780_RAW.tar	01/17/2013 14:33:27	935321600	TAR
File	GSM272133.CEL.gz	03/11/2008 10:25:29	5318170	CEL
File	GSM272134.CEL.gz	03/11/2008 10:25:33	5306146	CEL
File	GSM272135.CEL.gz	03/11/2008 10:25:36	5391728	CEL
File	GSM272136.CEL.gz	03/11/2008 10:25:40	5271340	CEL
File	GSM272137.CEL.gz	03/11/2008 10:25:44	5512514	CEL
File	GSM272138.CEL.gz	03/11/2008 10:25:48	5559255	CEL
File	GSM272139.CEL.gz	03/11/2008 10:25:51	4961472	CEL
File	GSM272140.CEL.gz	03/11/2008 10:25:55	5145382	CEL
File	GSM272141.CEL.gz	03/11/2008 10:25:59	5107511	CEL
File	GSM272142.CEL.gz	03/11/2008 10:26:02	4547856	CEL
File	GSM272143.CEL.gz	03/11/2008 10:26:06	5042013	CEL
File	GSM272144.CEL.gz	03/11/2008 10:26:10	5057881	CEL
File	GSM272145.CEL.gz	03/11/2008 10:26:13	5105236	CEL
File	GSM272146.CEL.gz	03/11/2008 10:26:17	4410233	CEL
File	GSM272147.CEL.gz	03/11/2008 10:26:20	5265026	CEL
File	GSM272148.CEL.gz	03/11/2008 10:26:24	5181031	CEL
File	GSM272149.CEL.gz	03/11/2008 10:26:28	5008733	CEL
File	GSM272150.CEL.gz	03/11/2008 10:26:31	5136259	CEL
File	GSM272151.CEL.gz	03/11/2008 10:26:35	5107708	CEL
File	GSM272152.CEL.gz	03/11/2008 10:26:38	5152859	CEL
File	GSM272153.CEL.gz	03/11/2008 10:26:42	5269525	CEL
File	GSM272154.CEL.gz	03/11/2008 10:26:45	5154902	CEL
File	GSM272155.CEL.gz	03/11/2008 10:26:49	5268459	CEL
File	GSM272156.CEL.gz	03/11/2008 10:26:53	5026621	CEL
File	GSM272157.CEL.gz	03/11/2008 10:26:56	5074780	CEL
File	GSM272158.CEL.gz	03/11/2008 10:27:00	5127658	CEL
File	GSM272159.CEL.gz	03/11/2008 10:27:03	4992509	CEL
File	GSM272160.CEL.gz	03/11/2008 10:27:07	5515796	CEL
File	GSM272161.CEL.gz	03/11/2008 10:27:11	5423488	CEL
File	GSM272162.CEL.gz	03/11/2008 10:27:15	5496634	CEL
File	GSM272163.CEL.gz	03/11/2008 10:27:19	5537241	CEL
File	GSM272164.CEL.gz	03/11/2008 10:27:22	5410571	CEL
File	GSM272165.CEL.gz	03/11/2008 10:27:26	5577572	CEL
File	GSM272166.CEL.gz	03/11/2008 10:27:30	5624150	CEL
File	GSM272167.CEL.gz	03/11/2008 10:27:34	5550668	CEL
File	GSM272168.CEL.gz	03/11/2008 10:27:38	5619053	CEL
File	GSM272169.CEL.gz	03/11/2008 10:27:41	5086561	CEL
File	GSM272170.CEL.gz	03/11/2008 10:27:45	5251379	CEL
File	GSM272171.CEL.gz	03/11/2008 10:27:49	5330176	CEL
File	GSM272172.CEL.gz	03/11/2008 10:27:52	5323306	CEL
File	GSM272173.CEL.gz	03/11/2008 10:27:56	5466818	CEL
File	GSM272174.CEL.gz	03/11/2008 10:28:00	5426172	CEL
File	GSM272175.CEL.gz	03/11/2008 10:28:03	5382643	CEL
File	GSM272176.CEL.gz	03/11/2008 10:28:09	5458480	CEL
File	GSM272177.CEL.gz	03/11/2008 10:28:14	5660322	CEL
File	GSM272178.CEL.gz	03/11/2008 10:28:18	5421188	CEL
File	GSM272179.CEL.gz	03/11/2008 10:28:22	5236945	CEL
File	GSM272180.CEL.gz	03/11/2008 10:28:26	5187718	CEL
File	GSM272181.CEL.gz	03/11/2008 10:28:29	4955549	CEL
File	GSM272182.CEL.gz	03/11/2008 10:28:33	5126582	CEL
File	GSM272183.CEL.gz	03/11/2008 10:28:38	5332638	CEL
